day,consumption,evaluation_set
2012-09-08,6.6935,False
2012-09-09,6.945000000000002,False
2012-09-10,6.9745,False
2012-09-11,6.831,False
2012-09-12,6.675,False
2012-09-13,6.6480000000000015,False
2012-09-14,6.686000000000001,False
2012-09-15,6.803000000000001,False
2012-09-16,7.311,False
2012-09-17,6.9255,False
2012-09-18,6.790000000000003,False
2012-09-19,6.842500000000001,False
2012-09-20,6.853999999999997,False
2012-09-21,7.0375,False
2012-09-22,7.2445,False
2012-09-23,8.445000000000002,False
2012-09-24,7.646,False
2012-09-25,7.375999999999999,False
2012-09-26,7.492000000000003,False
2012-09-27,7.395500000000001,False
2012-09-28,7.3530000000000015,False
2012-09-29,7.539999949999999,False
2012-09-30,8.135,False
2012-10-01,7.627000000000002,False
2012-10-02,7.578999999999999,False
2012-10-03,7.462999999999997,False
2012-10-04,7.481000000000001,False
2012-10-05,7.618999999999999,False
2012-10-06,7.65,False
2012-10-07,8.138000000000002,False
2012-10-08,7.97999995,False
2012-10-09,7.706500000000003,False
2012-10-10,7.7025000000000015,False
2012-10-11,7.997000000000001,False
2012-10-12,7.65349995,False
2012-10-13,8.002999999999998,False
2012-10-14,8.548,False
2012-10-15,8.033,False
2012-10-16,7.859000000000001,False
2012-10-17,7.791,False
2012-10-18,7.7545,False
2012-10-19,8.098000000000003,False
2012-10-20,8.201,False
2012-10-21,8.785000049999999,False
2012-10-22,8.263,False
2012-10-23,8.247,False
2012-10-24,7.929000000000002,False
2012-10-25,8.142000000000001,False
2012-10-26,8.405000000000001,False
2012-10-27,8.736,False
2012-10-28,9.3285001,False
2012-10-29,8.631999999999998,False
2012-10-30,8.435,False
2012-10-31,8.424,False
2012-11-01,8.447500000000002,False
2012-11-02,8.457000000000003,False
2012-11-03,8.912,False
2012-11-04,9.744000000000002,False
2012-11-05,8.79950005,False
2012-11-06,8.842500000000003,False
2012-11-07,8.708999999999998,False
2012-11-08,8.567999999999998,False
2012-11-09,8.504999999999999,False
2012-11-10,8.877500000000003,False
2012-11-11,9.555000050000002,False
2012-11-12,8.899,False
2012-11-13,8.416000000000002,False
2012-11-14,8.4565,False
2012-11-15,8.550500000000003,False
2012-11-16,8.740999999999998,False
2012-11-17,9.055999999999996,False
2012-11-18,9.522999999999998,False
2012-11-19,8.8535,False
2012-11-20,8.7165,False
2012-11-21,8.946000049999997,False
2012-11-22,8.601000000000003,False
2012-11-23,8.479000000000001,False
2012-11-24,9.332999999999998,False
2012-11-25,9.596,False
2012-11-26,8.9255,False
2012-11-27,8.976500000000003,False
2012-11-28,9.071000000000002,False
2012-11-29,9.038,False
2012-11-30,9.07,False
2012-12-01,9.7545,False
2012-12-02,10.334000000000001,False
2012-12-03,9.228999999999996,False
2012-12-04,9.123000000000003,False
2012-12-05,9.3695,False
2012-12-06,9.494,False
2012-12-07,9.4365,False
2012-12-08,9.558,False
2012-12-09,10.171999999999997,False
2012-12-10,9.297000000000002,False
2012-12-11,8.707,False
2012-12-12,9.636,False
2012-12-13,9.6565,False
2012-12-14,9.633,False
2012-12-15,9.45100005,False
2012-12-16,9.831000050000002,False
2012-12-17,9.246,False
2012-12-18,9.2915,False
2012-12-19,9.404,False
2012-12-20,9.385,False
2012-12-21,8.970500000000003,False
2012-12-22,9.603,False
2012-12-23,9.220000000000002,False
2012-12-24,9.326,False
2012-12-25,8.830000000000002,False
2012-12-26,8.622000000000002,False
2012-12-27,8.953,False
2012-12-28,9.031999999999998,False
2012-12-29,9.1495,False
2012-12-30,9.166,False
2012-12-31,9.230999999999998,False
2013-01-01,9.158000000000003,False
2013-01-02,9.2225,False
2013-01-03,8.831499999999998,False
2013-01-04,8.882000000000003,False
2013-01-05,9.096000000000002,False
2013-01-06,9.711,False
2013-01-07,9.062,False
2013-01-08,8.732999999999999,False
2013-01-09,8.783,False
2013-01-10,9.172,False
2013-01-11,8.979999999999997,False
2013-01-12,9.803999999999998,False
2013-01-13,10.259,False
2013-01-14,9.722,False
2013-01-15,9.376,False
2013-01-16,9.539,False
2013-01-17,9.52699995,False
2013-01-18,9.916000000000002,False
2013-01-19,10.7625,False
2013-01-20,11.031499999999998,False
2013-01-21,9.920000000000002,False
2013-01-22,9.7235,False
2013-01-23,9.707000000000004,False
2013-01-24,9.635,False
2013-01-25,9.677,False
2013-01-26,9.489000000000004,False
2013-01-27,9.794999999999998,False
2013-01-28,9.2980001,False
2013-01-29,8.891,False
2013-01-30,8.544,False
2013-01-31,8.663,False
2013-02-01,8.795999899999998,False
2013-02-02,9.329500050000002,False
2013-02-03,10.056000000000003,False
2013-02-04,8.892000000000003,False
2013-02-05,9.088,False
2013-02-06,9.2175,False
2013-02-07,9.009500000000003,False
2013-02-08,8.924000000000003,False
2013-02-09,9.515,False
2013-02-10,10.237999999999998,False
2013-02-11,9.557,False
2013-02-12,9.395,False
2013-02-13,9.227,False
2013-02-14,8.906,False
2013-02-15,8.69649995,False
2013-02-16,8.832999999999998,False
2013-02-17,9.27100005,False
2013-02-18,8.679,False
2013-02-19,8.511500000000002,False
2013-02-20,8.7815,False
2013-02-21,9.1115,False
2013-02-22,9.166,False
2013-02-23,9.481000000000002,False
2013-02-24,10.317,False
2013-02-25,9.3875,False
2013-02-26,9.055,False
2013-02-27,8.775999999999998,False
2013-02-28,8.756000000000002,False
2013-03-01,8.7255,False
2013-03-02,9.113999999999999,False
2013-03-03,9.446,False
2013-03-04,8.511500000000002,False
2013-03-05,8.209,False
2013-03-06,8.2345,False
2013-03-07,8.4145,False
2013-03-08,8.4025,False
2013-03-09,8.868999999999998,False
2013-03-10,9.616,False
2013-03-11,9.379,False
2013-03-12,9.064,False
2013-03-13,8.765999999999998,False
2013-03-14,8.690999999999999,False
2013-03-15,8.620000099999999,False
2013-03-16,9.0675,False
2013-03-17,9.45749995,False
2013-03-18,8.873,False
2013-03-19,8.474,False
2013-03-20,8.6595,False
2013-03-21,8.488999999999999,False
2013-03-22,8.8885,False
2013-03-23,9.649,False
2013-03-24,10.2555,False
2013-03-25,9.262000000000002,False
2013-03-26,9.06,False
2013-03-27,8.867000099999998,False
2013-03-28,8.657000000000002,False
2013-03-29,9.069,False
2013-03-30,8.589500000000001,False
2013-03-31,8.620499999999998,False
2013-04-01,8.790000000000001,False
2013-04-02,8.267999999999999,False
2013-04-03,8.610999999999999,False
2013-04-04,8.857999999999997,False
2013-04-05,8.433999999999997,False
2013-04-06,8.316000000000003,False
2013-04-07,8.419500000000001,False
2013-04-08,7.973,False
2013-04-09,8.232000000000001,False
2013-04-10,7.8675,False
2013-04-11,7.9570000000000025,False
2013-04-12,7.974999999999999,False
2013-04-13,8.214500000000001,False
2013-04-14,8.162,False
2013-04-15,7.467999999999997,False
2013-04-16,7.489999999999997,False
2013-04-17,7.3930000000000025,False
2013-04-18,7.310999899999998,False
2013-04-19,7.3679999999999986,False
2013-04-20,7.502000000000002,False
2013-04-21,8.099,False
2013-04-22,7.524999999999999,False
2013-04-23,7.091,False
2013-04-24,6.976999999999999,False
2013-04-25,6.866499999999999,False
2013-04-26,7.166,False
2013-04-27,7.612,False
2013-04-28,8.030000000000001,False
2013-04-29,7.267,False
2013-04-30,7.110000000000001,False
2013-05-01,6.993000000000002,False
2013-05-02,6.934000000000001,False
2013-05-03,6.845000000000002,False
2013-05-04,7.232000000000001,False
2013-05-05,7.1830000000000025,False
2013-05-06,7.1160000000000005,False
2013-05-07,6.900999999999999,False
2013-05-08,6.916,False
2013-05-09,7.0705,False
2013-05-10,6.984499999999999,False
2013-05-11,7.4780000000000015,False
2013-05-12,7.957000000000002,False
2013-05-13,7.119999999999999,False
2013-05-14,7.532999999999999,False
2013-05-15,7.3279999999999985,False
2013-05-16,7.092999999999999,False
2013-05-17,7.387499949999999,False
2013-05-18,7.352,False
2013-05-19,7.6335000000000015,False
2013-05-20,7.35,False
2013-05-21,7.084499999999998,False
2013-05-22,7.0965000000000025,False
2013-05-23,7.0314999999999985,False
2013-05-24,7.510000000000002,False
2013-05-25,7.110000000000001,False
2013-05-26,6.969000000000001,False
2013-05-27,6.995999999999999,False
2013-05-28,7.315000000000001,False
2013-05-29,7.3820000000000014,False
2013-05-30,7.269999999999999,False
2013-05-31,6.815000000000001,False
2013-06-01,7.015,False
2013-06-02,7.2360000000000015,False
2013-06-03,6.6910000000000025,False
2013-06-04,6.6235,False
2013-06-05,6.609999999999999,False
2013-06-06,6.5295,False
2013-06-07,6.6679999999999975,False
2013-06-08,6.7920000000000025,False
2013-06-09,7.531999999999997,False
2013-06-10,7.0235,False
2013-06-11,6.9350000000000005,False
2013-06-12,7.061000000000001,False
2013-06-13,6.95850005,False
2013-06-14,6.659,False
2013-06-15,7.1385,False
2013-06-16,7.269,False
2013-06-17,6.7345000000000015,False
2013-06-18,6.72099995,False
2013-06-19,6.671000000000001,False
